REGION,CÓDIGO DANE DEL DEPARTAMENTO,departamento,codigo_municipio,nombre_municipio_x,vote_share_2002_r1_alvaro_uribe,vote_share_2002_r1_horacio_serpa,vote_share_2006_r1_alvaro_uribe,vote_share_2006_r1_carlos_gaviria,vote_share_2010_r1_gustavo_petro,vote_share_2010_r1_juan_manuel_santos,vote_share_2014_r1_clara_lopez,vote_share_2014_r1_oscar_ivan_zuluaga,vote_share_2018_r1_gustavo_petro,vote_share_2018_r1_ivan_duque,vote_share_2022_r1_blanco,vote_share_2022_r1_federico_gutierrez,vote_share_2022_r1_gustavo_petro,vote_share_2022_r1_no_marcados,vote_share_2022_r1_nulos,vote_share_2022_r1_rest,vote_share_2022_r1_rodolfo_hernandez,vote_share_2022_r1_sergio_fajardo,vote_share_2022_r2_blanco,vote_share_2022_r2_gustavo_petro,vote_share_2022_r2_no_marcados,vote_share_2022_r2_nulos,vote_share_2022_r2_rodolfo_hernandez,nombre_municipio_y,poblacion_total,poblacion_afrocolombiana,poblacion_indigena,poblacion_rural_dispersa,anos_escolaridad,hogares_con_internet,hogares_totales,pct_afro_colombian,pct_indigenous,pct_rural_disperso,years_schooling,internet_access_rate,ipm_score,nbi_rate,proyeccion_2022,population_2022,risk_level,is_pdet,coca_hectares,armed_group_presence,high_risk_flag
Región Eje Cafetero - Antioquia,5,Antioquia,05125,Caicedo,0.4866,0.1159,0.5711,0.0817,0.0791,0.4306,0.0554,0.2727,0.1531,0.3581,0.0287671232876712,0.4852739726027397,0.146917808219178,0.0071917808219178,0.0202054794520547,0.0123287671232876,0.2589041095890411,0.0404109589041095,0.0263317191283293,0.1837167070217917,0.0027239709443099,0.0130145278450363,0.7742130750605327,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,76,Valle del Cauca,76122,Caicedonia,0.5594,0.2135,0.6565,0.1504,0.1457,0.495,0.102,0.3135,0.282,0.4117,0.0230600551743651,0.3384735092310957,0.2705665982881799,0.0032538728160147,0.0246162552168069,0.0091249911579543,0.2976586262997807,0.0332460918158025,0.0277279624775831,0.3610153124568906,0.0027590012415505,0.026003586701614,0.5824941371223618,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,70,Sucre,70124,Caimito,0.1718,0.5011,0.2017,0.353,0.342,0.1521,0.2395,0.0963,0.6619,0.1264,0.0104315811004295,0.219267743914911,0.635099202290857,0.00265903047658,0.0077725506238494,0.0165678052771527,0.0914297402331765,0.0167723460830435,0.0127118644067796,0.7152189265536724,0.0012358757062146,0.0072387005649717,0.2635946327683616,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,73,Tolima,73124,Cajamarca,0.95,0.2081,0.95,0.1466,0.142,0.8485,0.0995,0.5373,0.2749,0.7056,0.0134259259259259,0.1684027777777778,0.2637731481481482,0.0017361111111111,0.0162037037037037,0.0101851851851851,0.5101851851851852,0.0160879629629629,0.0140769969073264,0.3197184600618534,0.0011730830756105,0.0120507625039991,0.6529806974512105,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,19,Cauca,19130,Cajibío,0.2617,0.4263,0.3071,0.3003,0.2909,0.2316,0.2038,0.1467,0.563,0.1926,0.0254381006218202,0.1835311852270586,0.5402298850574713,0.0081967213114754,0.024495948746938,0.0464480874316939,0.1392500471075937,0.0324100244959487,0.0312479089996654,0.6443626630980261,0.0054867848778855,0.0350618936099029,0.2838407494145199,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,25,Cundinamarca,25126,Cajicá,0.7205,0.2449,0.8456,0.1725,0.1671,0.6376,0.1171,0.4038,0.3235,0.5302,0.0181108688167106,0.1979800298404682,0.3103867783771376,0.0003902215080913,0.0090898657178928,0.0129920807988063,0.3833811545965798,0.0676690003443131,0.0300168946284338,0.4177370455229234,0.0003008632460829,0.0121271031498067,0.5398180934527529,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,13,Bolívar,13140,Calamar,0.2189,0.3035,0.2569,0.2138,0.2071,0.1937,0.1451,0.1227,0.4008,0.1611,0.0158019161378623,0.4336195097673261,0.3845962423789971,0.0032350379494836,0.0105760856040811,0.0136866990170461,0.1164613661814109,0.0220231429637924,0.0156844654595779,0.498443086149233,0.0025371929419905,0.0093414831046015,0.4739937723445969,,,,,,,,,,,,,,,,,,,,,,
Región Llano,95,Guaviare,95015,Calamar,0.6397,0.4117,0.7507,0.29,0.281,0.5661,0.1968,0.3585,0.5438,0.4707,0.0245335176226675,0.0639253628196268,0.5217691776088459,0.0048375950241879,0.0127850725639253,0.0165860400829302,0.3403593642017968,0.0152038700760193,0.0185245368865778,0.596035099122522,0.0032499187520311,0.0107247318817029,0.371465713357166,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,63,Quindío,63130,Calarcá,0.6337,0.2268,0.7437,0.1598,0.1548,0.5608,0.1084,0.3551,0.2996,0.4663,0.0235614459170348,0.2779861632074685,0.2874607540774082,0.0015837292656497,0.0202272790419827,0.0113917368230946,0.3371676252396432,0.040621266427718,0.0302341503491715,0.3882514035327947,0.001369300287553,0.0231137888538956,0.557031356976585,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05129,Caldas,0.3673,0.1999,0.4311,0.1408,0.1364,0.3251,0.0955,0.2058,0.264,0.2703,0.0229925467585431,0.4370693292082688,0.2532930202034407,0.0011718933108329,0.0199924998828106,0.01094548352318,0.1954483663807247,0.0590868607321989,0.0357959416976278,0.3548871106030294,0.0012384490806897,0.0267219205487282,0.5813565780699247,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,15,Boyacá,15131,Caldas,0.95,0.1619,0.95,0.1141,0.1105,0.95,0.0774,0.6693,0.2139,0.8789,0.0073696145124716,0.1099773242630385,0.2052154195011337,0.0022675736961451,0.0090702947845804,0.0051020408163265,0.6354875283446711,0.0255102040816326,0.0143617021276595,0.2867021276595745,0.001063829787234,0.0101063829787234,0.6877659574468085,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,19,Cauca,19137,Caldono,0.136,0.6011,0.1596,0.4234,0.4102,0.1204,0.2873,0.0762,0.794,0.1001,0.0153196363376046,0.0895554441978667,0.7618297659102298,0.0073734698260433,0.014102655880879,0.0219772353067506,0.0723745436323287,0.0174672489082969,0.0150316005238285,0.8505950008540683,0.0030177076809201,0.0149177247622843,0.1164379661788988,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,76,Valle del Cauca,76001,Cali,0.2617,0.4159,0.3071,0.293,0.2838,0.2316,0.1988,0.1467,0.5494,0.1926,0.0218652249391995,0.2227195721084765,0.5271186423777335,0.0008425809500922,0.0120633660759958,0.0282528859643962,0.1392482183650738,0.0478895092190321,0.0231094667509677,0.6312308756249647,0.0005949539867177,0.0109923009893262,0.3340724026480235,Cali,2172527.0,580000.0,2100.0,2000.0,10.5,580000.0,750000.0,0.2669702148695965,0.0009666162952175,0.0009205869478261,10.5,0.7733333333333333,0.098,0.071,2300000.0,2300000.0,low,0.0,0.0,0.0,0.0
Región Centro Oriente,68,Santander,68132,California,0.95,0.0585,0.95,0.0412,0.0399,0.95,0.028,0.8017,0.0772,0.95,0.0155535224153705,0.1326623970722781,0.0741079597438243,0.000914913083257,0.0045745654162854,0.0045745654162854,0.7612076852698993,0.0064043915827996,0.0150575730735163,0.1027457927369353,0.0008857395925597,0.0017714791851195,0.8795394154118689,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,76,Valle del Cauca,76126,Calima,0.5851,0.3232,0.6867,0.2277,0.2206,0.5178,0.1545,0.3279,0.4269,0.4306,0.0241638051634236,0.1926745516978252,0.4096400864809869,0.0022892025944296,0.0160244181610072,0.0200941116622154,0.3113315528424265,0.0237822713976853,0.0254427538039411,0.5258169119481167,0.0014966325767024,0.0138438513344973,0.4333998503367423,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,19,Cauca,19142,Caloto,0.1549,0.5651,0.1817,0.3981,0.3856,0.137,0.2701,0.0868,0.7464,0.1139,0.0159987201023918,0.1218302535797136,0.7161827053835693,0.0023198144148468,0.0245580353571714,0.0156787457003439,0.0823934085273178,0.0210383169346452,0.0162476363891028,0.7922123397997058,0.0011205266475243,0.0211499404720218,0.169269556691645,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05134,Campamento,0.4564,0.121,0.5356,0.0853,0.0826,0.4038,0.0579,0.2557,0.1599,0.3358,0.0444444444444444,0.45420054200542,0.1533875338753387,0.0130081300813008,0.0140921409214092,0.0113821138211382,0.2428184281842818,0.0666666666666666,0.0438448566610455,0.2879426644182125,0.0071669477234401,0.0118043844856661,0.6492411467116358,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,8,Atlántico,08137,Campo de La Cruz,0.2185,0.2713,0.2564,0.1911,0.1851,0.1933,0.1297,0.1224,0.3583,0.1608,0.0122635355512067,0.4932811480756686,0.3437703848662752,0.0011741682974559,0.0061317677756033,0.009784735812133,0.1162426614481409,0.0173515981735159,0.0148449527160765,0.422476358038267,0.0013195513525401,0.006817681988124,0.5545414559049923,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,41,Huila,41132,Campoalegre,0.8691,0.2573,0.95,0.1812,0.1756,0.7691,0.123,0.487,0.3398,0.6396,0.0156808803301237,0.1449793672627235,0.3260660247592847,0.0013067400275103,0.0198074277854195,0.017331499312242,0.4624484181568088,0.0123796423658872,0.0174082494316336,0.4155245209483598,0.0006495615459564,0.0211757063981812,0.5452419616758688,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,15,Boyacá,15135,Campohermoso,0.95,0.097,0.95,0.0683,0.0662,0.95,0.0464,0.7707,0.1281,0.95,0.0093998553868402,0.1070137382501807,0.1229211858279103,0.0007230657989877,0.0057845263919016,0.0036153289949385,0.7317425885755604,0.0187997107736804,0.0131233595800524,0.166010498687664,0.0006561679790026,0.0059055118110236,0.8143044619422573,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,23,Córdoba,23090,Canalete,0.2025,0.4315,0.2377,0.304,0.2945,0.1792,0.2063,0.1135,0.5699,0.149,0.0121662189919418,0.294833306999526,0.5468478432611787,0.0022120398167167,0.0058461052298941,0.011534207615737,0.1077579396429135,0.0188023384420919,0.0087398133931734,0.5807251683004606,0.0010629502775481,0.0044880122829809,0.4049840557458368,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,8,Atlántico,08141,Candelaria,0.2131,0.2692,0.2501,0.1896,0.1837,0.1886,0.1287,0.1194,0.3555,0.1568,0.0145065852261882,0.4842527199847299,0.34109562893682,0.0019087612139721,0.0040083985493414,0.0209963733536934,0.1133804161099446,0.0198511166253101,0.015369681281346,0.4764601197217278,0.0014560750687591,0.0056625141562853,0.5010516097718816,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,76,Valle del Cauca,76130,Candelaria,0.2564,0.5023,0.3009,0.3539,0.3428,0.2269,0.2401,0.1437,0.6635,0.1887,0.0223935221190356,0.1229470698568095,0.6366256461869253,0.0018299098769385,0.0251841346813669,0.0322979093279656,0.1364426551992314,0.0222791527517269,0.0207327463788696,0.7446529613527626,0.0013982041815043,0.0193345421973652,0.2138815458894981,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,13,Bolívar,13160,Cantagallo,0.715,0.3529,0.8391,0.2486,0.2408,0.6327,0.1687,0.4006,0.4661,0.5261,0.0091516200840959,0.112292851842691,0.4471926787039327,0.0017313875834776,0.0061835270838486,0.0361117981696759,0.3804105861983675,0.0069255503339104,0.0110253583241455,0.5459757442116869,0.0011025358324145,0.0079382579933847,0.4339581036383682,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05138,Cañasgordas,0.4645,0.0792,0.5451,0.0558,0.054,0.411,0.0378,0.2603,0.1046,0.3418,0.0170965806838632,0.5868326334733054,0.1003299340131973,0.0041991601679664,0.01124775044991,0.0056988602279544,0.2471505698860228,0.0274445110977804,0.0212947189097103,0.1484951731970471,0.0019875070982396,0.011641113003975,0.8165814877910278,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,25,Cundinamarca,25148,Caparrapí,0.95,0.0745,0.95,0.0525,0.0508,0.95,0.0356,0.7589,0.0984,0.95,0.0084096430573724,0.1345542889179592,0.0943748831994019,0.0020556905251354,0.0063539525322369,0.0218650719491683,0.720612969538404,0.0117735002803214,0.0128755364806866,0.1257840871574777,0.0014856388246946,0.0046219874546054,0.8552327500825355,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,68,Santander,68147,Capitanejo,0.95,0.0722,0.95,0.0509,0.0493,0.95,0.0345,0.7705,0.0954,0.95,0.0054017555705604,0.1468602295746117,0.0914922349763673,0.0023632680621201,0.0054017555705604,0.0037137069547602,0.7316002700877785,0.013166779203241,0.0085905186127903,0.1205854279350938,0.0019090041361756,0.0044543429844097,0.8644607063315304,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,25,Cundinamarca,25151,Caqueza,0.95,0.1991,0.95,0.1402,0.1359,0.95,0.0952,0.6188,0.263,0.8126,0.0147741663149008,0.0995145631067961,0.2523216547066272,0.0011608273533136,0.0111861544955677,0.0110806247361756,0.5875897002954833,0.0223723089911355,0.0182671191854661,0.3252146136953484,0.000598921940507,0.0131762826911559,0.6427430624875224,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05142,Caracolí,0.5687,0.1376,0.6674,0.0969,0.0939,0.5033,0.0658,0.3187,0.1817,0.4185,0.0215430861723446,0.4574148296593186,0.1743486973947896,0.0040080160320641,0.0065130260521042,0.0130260521042084,0.3026052104208417,0.0205410821643286,0.023798413439104,0.2379841343910406,0.0032664489034064,0.0163322445170321,0.7186187587494167,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05145,Caramanta,0.4346,0.1114,0.5101,0.0785,0.076,0.3846,0.0532,0.2435,0.1471,0.3198,0.0150909897913892,0.4975588104749223,0.1411451398135819,0.0062139369729249,0.0181979582778517,0.0071016422547714,0.2312472259209942,0.0834442964935641,0.0213657310431504,0.1998324256388772,0.0033514872224549,0.0121491411813992,0.7633012149141182,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,68,Santander,68152,Carcasí,0.95,0.0521,0.95,0.0367,0.0355,0.95,0.0249,0.8811,0.0688,0.95,0.0050761421319796,0.078910936778957,0.065989847715736,0.0018458698661744,0.0032302722658052,0.004614674665436,0.8366405168435626,0.0036917397323488,0.0092633436259373,0.0851345390383767,0.0022055580061755,0.0035288928098809,0.8998676665196295,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05147,Carepa,0.4878,0.3723,0.5725,0.2622,0.2541,0.4317,0.178,0.2733,0.4917,0.3589,0.0261216056670602,0.1798996458087367,0.4718122786304604,0.0026072412436048,0.011806375442739,0.0219893742621015,0.2595434868162141,0.026219992129083,0.0270883496943878,0.5836729023893313,0.0014817558807186,0.0120855714021115,0.3756714206334506,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,73,Tolima,73148,Carmen de Apicala,0.95,0.1499,0.95,0.1056,0.1023,0.9224,0.0717,0.5841,0.198,0.767,0.0156834788807699,0.1988950276243093,0.1899839600784174,0.0007128854036713,0.0112279451078239,0.0112279451078239,0.554624844056318,0.0176439137408661,0.0133108677337826,0.249536647009267,0.0008424599831508,0.0117944397641112,0.7245155855096883,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,25,Cundinamarca,25154,Carmen de Carupa,0.95,0.1224,0.95,0.0862,0.0835,0.95,0.0585,0.7674,0.1616,0.95,0.0144670050761421,0.066751269035533,0.1550761421319797,0.0015228426395939,0.0083756345177664,0.0060913705583756,0.7286802030456853,0.0190355329949238,0.0206912767458264,0.2055019985892311,0.0007053844345168,0.0115212790971079,0.7615800611333177,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,27,Chocó,27150,Carmen del Darien,0.1105,0.6379,0.1297,0.4493,0.4353,0.0978,0.3049,0.0619,0.8425,0.0813,0.0222434064188115,0.0549729901493485,0.8083889418493804,0.0041309183349221,0.0146170956466476,0.0228789323164918,0.0587861455354305,0.0139815697489672,0.0179514255543822,0.867740232312566,0.0007919746568109,0.0073917634635691,0.1061246040126716,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05150,Carolina,0.3058,0.1439,0.3589,0.1014,0.0982,0.2706,0.0688,0.1714,0.19,0.2251,0.021845742309407,0.5617476593847526,0.1823450735621934,0.0022291573785109,0.0173874275523851,0.0075791350869371,0.1627284886312973,0.0441373160945162,0.0185266872518747,0.2479047198941332,0.0013233348037053,0.0189677988531098,0.7132774591971769,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,13,Bolívar,13001,Cartagena,0.2202,0.4386,0.2585,0.3089,0.2993,0.1949,0.2096,0.1234,0.5792,0.1621,0.020813074089098,0.2467034157780383,0.5557738151467835,0.0008779777616012,0.0059207930695325,0.0214771142315749,0.1171878038886635,0.0312460060347079,0.0213843724981107,0.6717047390303457,0.0006709116167473,0.0048809443642177,0.3013590324905785,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,18,Caquetá,18150,Cartagena del Chairá,0.5588,0.4061,0.6558,0.2861,0.2771,0.4945,0.1941,0.3131,0.5364,0.4112,0.0327096856306478,0.0796741758941071,0.5147002672775869,0.005600101820033,0.0217640320733104,0.026218658521064,0.2973144966272114,0.0220185821560392,0.0392122072391767,0.6395493257629524,0.0051454932576295,0.021291696238467,0.2948012775017743,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,76,Valle del Cauca,76147,Cartago,0.4894,0.288,0.5744,0.2029,0.1965,0.4331,0.1377,0.2742,0.3804,0.3601,0.0242775686895281,0.2733851297872684,0.3650034728391672,0.001518357589365,0.0196740377004958,0.0142628696958438,0.2603983265761036,0.0414802371222277,0.0264800928685721,0.4676842468547046,0.001427540551564,0.0197659460985787,0.4846421736265804,,,,,,,,,,,,,,,,,,,,,,
Región Llano,97,Vaupés,97161,Caruru,0.191,0.633,0.2241,0.4459,0.4319,0.169,0.3025,0.107,0.836,0.1405,0.0071301247771836,0.053475935828877,0.8021390374331551,0.0035650623885918,0.0017825311942959,0.0106951871657754,0.1016042780748663,0.0196078431372549,0.0043541364296081,0.8577648766328012,,0.0029027576197387,0.1349782293178519,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,73,Tolima,73152,Casabianca,0.9163,0.1387,0.95,0.0977,0.0946,0.8108,0.0663,0.5135,0.1832,0.6742,0.0207860922146636,0.2437641723356009,0.1757369614512471,0.0068027210884353,0.0124716553287981,0.0238095238095238,0.4875283446712018,0.0291005291005291,0.0224080267558528,0.2418060200668896,0.0040133779264214,0.0147157190635451,0.717056856187291,,,,,,,,,,,,,,,,,,,,,,
Región Llano,50,Meta,50150,Castilla la Nueva,0.95,0.1883,0.95,0.1326,0.1285,0.95,0.09,0.6596,0.2486,0.8662,0.0128523598660762,0.0691219354141916,0.2385786802030456,0.0005400151204233,0.0169564747812938,0.0224646290096122,0.6263095366670267,0.0131763689383302,0.0177939757744667,0.3207203344409904,0.0008575410011791,0.0245471111587522,0.6360810376246114,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05154,Caucasia,0.5945,0.3096,0.6977,0.2181,0.2112,0.5261,0.148,0.3332,0.4089,0.4375,0.0192992602964902,0.2031901616389151,0.3923168244497884,0.0023134759976865,0.014428784511887,0.0289488904447353,0.3163374022099784,0.023165200450519,0.0232954378543521,0.50879821391851,0.0013219353132986,0.0132193531329866,0.4533650597808525,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,68,Santander,68160,Cepitá,0.95,0.0778,0.95,0.0548,0.0531,0.95,0.0372,0.8042,0.1027,0.95,0.0042857142857142,0.1235714285714285,0.0985714285714285,0.0021428571428571,0.0014285714285714,0.0021428571428571,0.7635714285714286,0.0042857142857142,0.0089841050449205,0.1147201105736005,,0.0006910850034554,0.8756046993780235,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,23,Córdoba,23162,Cereté,0.2824,0.4255,0.3315,0.2997,0.2904,0.2499,0.2034,0.1583,0.562,0.2078,0.0158236937619134,0.2597592500718071,0.5392328380813118,0.0013055852938872,0.0083557458808783,0.0106535759981199,0.1502728673264224,0.0145964435856594,0.0176058656949048,0.6430092419818673,0.0012732421574868,0.0094395539261958,0.3286720962395451,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,15,Boyacá,15162,Cerinza,0.95,0.2568,0.95,0.1809,0.1752,0.8754,0.1227,0.5544,0.3391,0.728,0.0149516270888302,0.0795954265611257,0.3254177660510114,0.0004397537379067,0.0096745822339489,0.0074758135444151,0.5263852242744064,0.0360598065083553,0.0205192629815745,0.423785594639866,0.0012562814070351,0.0117252931323283,0.542713567839196,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,68,Santander,68162,Cerrito,0.95,0.074,0.95,0.0521,0.0505,0.95,0.0354,0.8786,0.0977,0.95,0.0066324992463069,0.0452215857702743,0.0937594211637021,0.0027132951462164,0.0063310220078384,0.0054265902924329,0.8341875188423274,0.0057280675309014,0.0142390981904479,0.1174725600711955,0.0011865915158706,0.0065262533372886,0.8605754968851973,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,47,Magdalena,47161,Cerro San Antonio,0.1065,0.2738,0.125,0.1929,0.1868,0.0943,0.1309,0.0597,0.3616,0.0784,0.0049566294919454,0.5508054522924412,0.3469640644361834,0.0006195786864931,0.006815365551425,0.0065055762081784,0.0566914498141263,0.0266418835192069,0.0102681118083285,0.5182544209925841,0.0005704506560182,0.004563605248146,0.466343411294923,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,27,Chocó,27160,Cértegui,0.0789,0.5202,0.0925,0.3665,0.355,0.0698,0.2487,0.0442,0.6871,0.058,0.0119870908252651,0.2134624250806823,0.6592899953895804,0.0046104195481788,0.0290456431535269,0.0096818810511756,0.0419548178884278,0.0299677270631627,0.0129130269654386,0.8127611090011394,0.0018989745537409,0.0167109760729206,0.1557159134067603,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,52,Nariño,52240,Chachagüí,0.2164,0.5534,0.2539,0.3898,0.3776,0.1915,0.2645,0.1212,0.7309,0.1592,0.0145037014654781,0.1305333131893035,0.7013143979453089,0.0018129626831847,0.0123885783350959,0.0052878078259555,0.1151231303822329,0.01903610817344,0.015758371634931,0.8111621799080762,0.0011818778726198,0.010505581089954,0.1613919894944189,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,25,Cundinamarca,25168,Chaguaní,0.95,0.1419,0.95,0.0999,0.0968,0.95,0.0678,0.6328,0.1874,0.831,0.0066762041010968,0.1778731521220791,0.1797806390081068,0.0009537434430138,0.0023843586075345,0.0076299475441106,0.6008583690987125,0.0238435860753457,0.0091463414634146,0.203397212543554,0.0008710801393728,0.0030487804878048,0.7835365853658537,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,70,Sucre,70230,Chalán,0.1492,0.3883,0.1752,0.2736,0.265,0.1321,0.1856,0.0836,0.5129,0.1098,0.0175939134569662,0.3751783166904422,0.4921540656205421,0.0028530670470756,0.0066571564431764,0.0099857346647646,0.0794103661436043,0.0161673799334284,0.0142236270248913,0.5697352824970368,0.0019755037534571,0.0082971157645199,0.4057684709600948,,,,,,,,,,,,,,,,,,,,,,
Región Llano,85,Casanare,85015,Chámeza,0.95,0.1562,0.95,0.11,0.1066,0.95,0.0746,0.73,0.2063,0.95,0.0104166666666666,0.0673076923076923,0.1979166666666666,,0.0016025641025641,0.0224358974358974,0.6931089743589743,0.0072115384615384,0.0164670658682634,0.2380239520958083,0.0007485029940119,0.0029940119760479,0.7417664670658682,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,73,Tolima,73168,Chaparral,0.8299,0.219,0.95,0.1543,0.1495,0.7344,0.1047,0.4651,0.2893,0.6107,0.0161351866993731,0.1993458708094848,0.2775688198419188,0.002725538293813,0.016952848187517,0.0222403924775143,0.4415917143635868,0.023439629326792,0.0190732923045623,0.3439804689486801,0.0022887950765474,0.0163776003255175,0.6182798433446925,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,68,Santander,68167,Charalá,0.95,0.1245,0.95,0.0877,0.085,0.95,0.0595,0.7894,0.1645,0.95,0.0072533849129593,0.0567375886524822,0.1578014184397163,0.0003223726627981,0.0037072856221792,0.0162798194713088,0.7495164410058027,0.008381689232753,0.0077387401331063,0.1897539080637672,0.0006190992106485,0.0054171180931744,0.7964711344993035,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,68,Santander,68169,Charta,0.95,0.058,0.95,0.0409,0.0396,0.95,0.0277,0.7081,0.0767,0.9298,0.0056577086280056,0.2343234323432343,0.0735502121640735,0.0023573785950023,0.0009429514380009,0.0033003300330033,0.6723243752946724,0.0075436115040075,0.0044483985765124,0.0885231316725978,0.0004448398576512,0.0004448398576512,0.9061387900355872,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,25,Cundinamarca,25175,Chía,0.7101,0.223,0.8334,0.1571,0.1521,0.6284,0.1066,0.3979,0.2945,0.5225,0.0189697814269393,0.2215233575634314,0.2825631175222527,0.0003138613737084,0.0076582175184864,0.0128180985022535,0.3778263216702447,0.0783272444226833,0.0313259416767922,0.3888846699068449,0.0003164236533009,0.0103280680437424,0.5691448967193196,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05172,Chigorodó,0.5515,0.3493,0.6472,0.246,0.2383,0.488,0.1669,0.309,0.4613,0.4058,0.022662620898919,0.1748530248435425,0.4426322776408117,0.0021335103356722,0.0116631898350085,0.0294424426322776,0.2934287881661293,0.0231841456476389,0.0250747844448354,0.560751363716347,0.0016276614464191,0.0119215203237726,0.4006246700686257,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,23,Córdoba,23168,Chimá,0.1826,0.4106,0.2143,0.2893,0.2802,0.1616,0.1963,0.1023,0.5424,0.1344,0.0086733054930934,0.3438805011243174,0.5203983295856087,0.0011243173787343,0.0046578862833279,0.0130099582396402,0.097173144876325,0.0110825570189527,0.009208338662233,0.5701496355032613,0.000767361555186,0.0033252334058063,0.4165494308735132,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,68,Santander,68176,Chimá,0.95,0.0476,0.95,0.0335,0.0325,0.95,0.0228,0.9188,0.0629,0.95,0.0012570710245128,0.0509113764927718,0.0603394091766184,0.0050282840980515,0.0050282840980515,0.0018856065367693,0.8724072910119421,0.0031426775612822,0.0023255813953488,0.0837209302325581,0.0011627906976744,0.0069767441860465,0.905813953488372,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,20,Cesar,20175,Chimichagua,0.4323,0.3085,0.5074,0.2173,0.2105,0.3826,0.1475,0.2423,0.4075,0.3181,0.007285797551972,0.3238779871769963,0.3910044686224985,0.0017485914124732,0.0073829415193316,0.0256460073829415,0.2300369147075966,0.01301729162619,0.0092404204815191,0.4465072906069854,0.0012716174974567,0.0076297049847405,0.535350966429298,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,54,Norte de Santander,54172,Chinácota,0.95,0.1011,0.95,0.0712,0.069,0.8848,0.0483,0.5603,0.1336,0.7357,0.0108044501497646,0.287441163885323,0.1281557552417629,0.0008557980316645,0.0074882327770646,0.0181857081728712,0.5319854514334617,0.0150834403080872,0.0134249812050263,0.165825367844485,0.0006443990978412,0.0059069917302115,0.8141982601224358,,,,,,,,,,,,,,,,,,,,,,
